MovieID	IDSubtitleFile	SubLanguageID	IDSubtitle	SubActualCD	SubSumCD	SubFormat	MovieName	MovieYear
29599	201433	eng	147474	1	1	srt	On the Edge	2001
29600	283933	eng	216057	1	1	srt	Xie	1980
29601	286095	eng	217598	1	2	srt	Tange Sazen: Hyakuman ryo no tsubo	2004
29602	286183	eng	217664	1	1	srt	Kaze wo mita shônen	2000
29603	1952094599	eng	3479407	1	1	srt	Night of the Comet	1984
29604	1952321197	eng	3674607	1	1	srt	Python	2000
29605	1951714426	eng	3163393	1	1	srt	Futurama: Bender's Big Score	2007
29606	1951714262	eng	3163247	1	2	srt	Kantoku · Banzai!	2007
29610	1952703052	eng	4028517	1	1	srt	The Last Run	2004
29611	1951714477	eng	3163427	1	1	srt	Secrets of a Hollywood Supermadam	2009
29613	1951963632	eng	3361911	1	1	srt	Futurama: Bender's Game	2008
29615	1952066711	eng	3453649	1	1	srt	Mannequin: On the Move	1991
29616	1952844129	eng	4164000	1	4	srt	Medici: Godfathers of the Renaissance	2004
29617	1951713907	eng	3162934	1	1	srt	Marilena de la P7	2006
29618	1951713924	eng	3162950	1	2	srt	Love... and Other Reasons to Panic	2007
29623	1951861778	eng	3278146	1	1	srt	Teeth	2007
29627	1951713987	eng	3163006	1	1	srt	St. Louis Cardinals: Baseball Heaven	2006
29631	1952691706	eng	4017686	1	1	srt	The Amazing World of Wallace and Gromit	1999
29633	1952115760	eng	3498649	1	1	srt	Arch of Triumph	1948
29635	1951722339	eng	3169463	1	2	srt	Play Dirty	1968
29639	1951714147	eng	3163148	1	1	srt	Yoru no onnatachi	1948
29644	1952018738	eng	3410318	1	1	srt	Vogliamo i colonnelli	1973
29645	1952781906	eng	4107476	1	1	srt	Katt Williams: American Hustle	2007
29646	1951842447	eng	3262649	1	1	srt	Endgame: Blueprint for Global Enslavement	2007
29652	1951964221	eng	3362346	1	1	srt	Trishul	1978
29654	1952768946	eng	4095191	1	1	srt	Parole de flic	1985
29657	1951714385	eng	3163357	1	2	srt	Uvlecheniya	1994
29661	1951714403	eng	3163371	1	1	srt	Unearthed	2007
29668	1951714577	eng	3163485	1	1	srt	No Smoking	2007
29676	1951714680	eng	3163578	1	1	srt	The Culpepper Cattle Co.	1972
29681	1952320264	eng	3673728	1	1	srt	Amantes	1991
29684	1951946292	eng	3348842	1	1	srt	Jeff Dunham: Spark of Insanity	2007
29687	1952177731	eng	3552558	1	1	srt	Kazaam	1996
